"get divorced";"рвзвестись"
"use up";"израсходовать"
"do about";"делать с, поделать"
"hold back";"сдерживать, удерживать"
"put aside";"отложить"
"cross out";"вычеркнуть, зачеркнуть"
"pay off";"окупиться"
"drop out";"выпадать, отказаться, бросить(уник)"
"bear fruit";"приносить плоды, плордоносить"
"cool down";"остыть"
"rid off";"избавиться"
"act up";"капризничать"
"bail out";"выручить, спасти финансово"
"stand out";"выделяться (из толпы)"
"ask out";"пригласить на свидание"
"die down";"утихать"
